Tienda,ID,Producto,Precio
Superama,0,papel higiénico kleenex cottonelle unique 32 rollos,147.00
Superama,1,papel higiénico kleenex cottonelle unique 18 rollos,90.50
Superama,2,papel higiénico kleenex cottonelle bio compact 8 rollos con 408 hojas dobles,64.99
Superama,3,papel higiénico regio luxury almond touch triple hoja 18 pzas,110.00
Superama,4,papel hiiénico elite triplex shea butter 18 pzas,89.00
Superama,5,papel higiénico kleenex cottonelle gentle care 12 rollos,63.50
Superama,6,papel higiénico regio luxury con un toque de almendra 4 rollos,23.00
Superama,7,papel higiénico great value  premium 32 rollos,115.00
Superama,8,servilletas de papel great value premium 500 pzas,35.50
Superama,9,toallas de papel elite megaroll 1 rollo con 180 hojas,14.89
Superama,10,papel higiénico kleenex cottonelle prestige 4 rollos,38.09
Superama,11,papel higiénico regio opción verde 6 pzas,47.50
Superama,12,servilletas great value  premium 250 pzas,21.00
Superama,13,toallas de papel white cloud  1 rollo,34.90
Superama,14,papel higiénico kleenex cottonelle fresh 42 rollos,37.70
Superama,15,papel higiénico great value  premium 4 rollos 320 hojas dobles,22.50
Superama,16,papel higiénico húmedo kleenex cottonelle fresh 42 toallas,56.00
Superama,17,servilletas elite 400 pzas,30.50
Superama,18,servilletas kleenex class 200 pzas,64.50
Superama,19,servilletas kleenex elegance 100 pzas,64.50
Superama,20,servilletas pétalo  hoja sencilla 450 pzas,37.50
Superama,21,servilletas unique  balloon birthday 16 pzas,19.00
Superama,22,servilletas unique  happy birthday 16 pzas,20.00
Superama,23,servilletas unique  para baby shower 16 pzas,18.00
Superama,24,toallas de cocina great value  1 rollo con 85 hojas,20.90
Superama,25,toallas de papel bounty  55 hojas dobles 1 paquete con 2 pzas,82.00
Superama,26,servitoalla kleenex duramax 1 rollo,41.10
Superama,27,servilletas de coctel unique  party style 25.4 cm x 25.4 cm 16 pzas,22.01
Superama,28,toallas de cocina great value  2 rollos con 85 hojas c/u,39.90
Superama,29,pañuelos desechables kleenex  90 hojas dobles,15.69
Superama,30,pañuelos desechables kleenex selection cubo 90 hojas dobles,16.50
Superama,31,pañuelos desechables elite  happy aroma coco y piña 6 paquetes con 10 pzas c/u,16.00
Superama,32,pañuelos desechables elite  relax aroma pera y manzana 6 paquetes con 10 pzas c/u,16.00
Superama,33,pañuelos desechables kleenex cold care con aceite humectante 66 pzas,29.35
Superama,34,pañuelos desechables kleenex  ahorrapack 2 cajas con 180 pzas c/u,61.00
Superama,35,pañuelos desechables kleenex ahorrapack 3 pzas con 90 pzas c/u,40.00
Superama,36,pañuelos desechables kleenex boutique 3 paquetes con 70 pzas c/u,35.90
Superama,37,pañuelos desechables kleenex cold care antiviral 80 pzas,28.50
Superama,38,pañuelos desechables kleenex travelers 2 pzas con 40 pzas c/u,16.90
La Comer,0,Papel higienico aires de frescura 32's   regio,110.00
La Comer,1,Papel higienico rendimax manzanilla 12's 500 h. petalo,74.00
La Comer,2,Papel higienico r3 almendras 4's   regio,23.00
La Comer,3,Papel higienico rendimax manzanilla 4's 500 h. petalo,24.00
La Comer,4,Papel higienico r3 almendras 18's 230 ht regio,115.00
La Comer,5,Papel higienico manzanilla 32's   regio,140.00
La Comer,6,Papel higienico suavel 32's   suavel,91.79
La Comer,7,Papel higienico duo 6's   elite,25.90
