,Producto,Precio
576,Vinagre vino tinto merlot   pons,51.0
577,Jaea naranja con vino tinto al chipotle   gloriosas tentaciones,74.0
578,Vinagre de vino blanco con ajo   carbonell,37.2
579,Vinagre vino blanco moscatel   pons,51.0
580,Vinagre de vino tinto   ybarra,39.96
581,Salsa blueberry al vino blanco la malaguea ki gourmet,86.5
582,Vinagre de vino blanco botella borges,33.9
583,Aderezo gourmet vino tinto   clemente jacques,49.9
584,Vinagre de vino tinto   clovis,45.5
585,Vino sierra gorda blanco chardonnay  ,402.2
586,Vinagre de vino tinto   kuhne,70.0
587,Vinagre vino blanco carbonell   carbonell,35.9
588,Vino solera blanco santo tomas,161.98
589,Vino espumoso lambrusco emilia blanco ig    ,118.5
590,Vermouth blanco   martini,210.0
591,V tinto marquez concha y toro 750ml   concha y toro,409.0
592,Tinto merlot montes 750 ml.    ,165.0
593,Partager blanco    ,128.0
594,Vinto tinto rubi   la redonda,115.0
595,Tinto beaujolais a. bichot 750 ml    ,245.0
596,Vermouth carpano tinto   punt e emes,375.0
597,Oporto blanco   ferreira tawny,398.4
598,Tinto merlot c.   diablo,199.0
599,Blanco chardonnay 750 ml.   montes,159.0
600,Lambrusco blanco chiarli   -,93.79
601,Ron blanco coco   malibu,171.81
602,Vinto tinto merlot via sn pedro   sweety control,195.95
603,Pedro infante tequila blanco blanco pedro infante,239.0
604,Coctel con alcohol tinta   vina real,18.29
605,Vino tinto siglo azpilicueta,250.0
606,Vino tinto marques riscal,450.0
607,Vino tinto marques caceres,229.0
608,Vino tinto santa helena,114.15
609,Vt alamos malbec    ,269.0
610,Vt latour beaujolais villages    ,362.0
611,Vt sangria cruzares brick  ,32.0
612,Vt lindemans cawarra shiraz cabernet    ,278.0
613,Tequila blanco   cava don agustin,248.0
614,Tequila blanco   jimador,125.0
615,Ron blanco baraima   baraima,99.0
616,Tequila blanco 100% agave antigua cruz,360.0
617,Tequila 100 agave blanco extra premium somonque,280.0
618,Ron blanco   matusalem,154.44
619,Ron blanco gran platinum barcelo,281.0
620,Tequila blanco silver   los azulejos,348.0
621,Maestro tequilero blanco   cuervo,333.95
622,Tequila ollitas blanco    ,198.0
623,Tequila blanco   centinela,282.0
624,Tequila blanco 100% agave   el destilador,181.25
625,Tequila blanco   revolucion,299.0
626,Tequila blanco   don julio,345.0
627,Tequila blanco   rc,209.9
628,Tequila blanco   alacran,289.0
629,Mezcal  blanco   recuerdo de oaxaca,210.0
630,Tequila blanco 100%   don nacho,150.0
631,Ron blanco ghost kraken,149.0
632,Tequila blanco verdano   1800,275.4
633,Tequila blanco   revolucion,399.0
634,Tequila blanco 100%agave xicote,382.25
635,Tequila blanco   cazadores,220.0
636,Tequila blanco   espolon,150.0
637,Tequila blanco   el jimador,155.0
638,Tequila milagro blanco   leyenda del milagro,241.5
