,Producto,Precio
129,Vino tinto graffigna gran reserva malbec  ,355.0
130,Vino tinto saurus pinot noir -,230.0
131,Vino blanco verdejo   marques caceres,161.0
132,Vino tinto rva.   luis canas,420.0
133,Vino tinto carmenere-cabernet sauvig novas,289.0
134,Vino tinto ibericos torres rioja    ,179.0
135,Vino tinto malacoda 2008   -,490.4
136,Vino tinto mandra rosa nero d'avola   -,220.0
137,Vino tinto reservado cabernet sauvignon la redonda,112.0
138,Vino tinto valdepenas crianza pata negra,109.0
139,Vino blanco chardonnay los vascos,191.0
140,Vino tinto rioja gran reserva   campo viejo,332.0
141,Vino tinto reserve   calvet,56.0
142,Vino tinto tanat   isla lobos,178.0
143,Vino tinto pintia   -,1304.0
144,Vino tinto reservado sauvignon blanc la redonda,112.0
145,Vino blanco california   rossi,112.0
146,Vino tinto louis jadot beaujolais villages  ,278.0
147,Vino tinto   ruffino,215.0
148,Vino blanco chenin blanc cos. tardia    ,279.0
149,Vino blanco   diamante,100.0
150,Vino tinto tanatt cabernet franc isla lobos,275.0
151,Vino tinto norton malbec  ,128.0
152,Vino blanco espumoso brut natural  ,185.0
153,Vino tinto senorio de ucero crianza -,239.0
154,Vino tinto cabernet sauvignon la mascota,324.0
155,Vino tinto reservado estefanya cabrenet sauvignon  ,109.0
156,Vino blanco aveleda fonte    ,198.0
157,Vino tinto chianti docg 2014 fiasco  ,950.0
158,Vino tinto chianti docg 2014 fiasco  ,240.0
159,Vino tinto crianza   protos,280.0
160,Vino tinto beronia crianza    ,184.0
161,Vino tinto reserva   marques caceres,317.0
162,Vino tinto malbec trivento golden reserve .,475.0
163,Vino tinto   casillero del diablo,199.0
164,Vino tinto unanime   santa ana,504.0
165,Vino tinto graffiacane 2007   -,257.43
166,Vino tinto dinastia vivanco reserva .,389.0
167,Vino tinto mmc   phebus,182.0
168,Vino tinto trumpeter malbec   -,198.0
169,Vino tinto sirah   casillero del diablo,199.0
170,Vino blanco torres   esmeralda,169.0
171,Vino blanco   satinela,159.0
172,Vino tinto malbec balbo -,160.0
173,Vino tinto cabernet sauvignon sendero,95.0
174,Vino tinto aromo cabernet savignon la redonda,149.0
175,Vino tinto reservado malbec -,107.0
176,Vino tinto crianza   montecillo,230.6
177,Vino tinto trumpeter malbec   -,122.0
178,Vino blanco trappoline 2013 -,210.0
179,Vino tinto reservado botella concha y toro,65.0
180,Vino tinto trivium crianza    ,289.0
181,Vino tinto reservado merlot concha y toro,107.0
182,Vino  tinto rioja reserva   campo viejo,263.0
183,Vino blanco veiga naum  ,220.0
184,Vino tinto merlot    ,278.97
185,Vino tinto 750 ml.   faustino i,655.0
186,Vino tinto montefiori cabernet montepulciano -,260.0
187,Vino tinto marques de valparaiso crianza   -,246.0
188,Vino tinto carmenere frontera,139.0
189,Vino tinto partager    ,128.0
190,Vino tinto sangre de toro   torres,53.0
191,Vino blanco serie riberas sauvignon blanc -,297.0
192,Vino tinto crianza luis canas,282.35
193,Vino tinto portillo malbec   -,167.0
194,Vino tinto jimenez landi bajondillo   -,179.0
195,Vino tinto carmelo rodero crianza  ,700.0
196,Vino tinto dorium joven -,178.0
197,Vino blanco lumina pinot grigio  ,266.0
198,Vino tinto jumilla crianza   casa de la ermita,270.0
199,Vino tinto chianti rufina docg 2013   ,140.0
200,Vino tinto cosme palacio reserva    ,460.0
201,Vino tinto ai 8 bodega iniesta  ,198.0
202,Vino tinto merlot balbo -,160.0
203,Vino tinto merlot mil piedras -,210.0
204,Vino tinto senorio de orgaz   -,94.5
205,Vino blanco sauvignon blanc palo alto,140.0
206,Vino tinto poggiano di montepulciano -,280.0
207,Vino tinto red   aphotic,199.0
208,Vino tinto   marques riscal,259.0
209,Vino tinto malbec la mascota,324.0
210,Vino tinto reserva   faustino rivero,394.0
211,Vino tinto tempranillo   arco de la vega,134.0
212,Vino tinto corazon loco bodega iniesta  ,380.0
213,Vino tinto little pinguin shyraz  ,211.0
214,Vino tinto carmenere reservado concha y toro,107.0
215,Vino blanco rueda verdejo   pata negra,109.0
216,Vino blanco st chardonay  ,136.99
217,Vino tinto trivium joven    ,173.0
218,Vino tinto  alta luna   -,319.0
219,Vino blanco chardonnay adobe organico  ,190.0
220,Vino tinto little pinguin chardonnay  ,211.0
221,Vino tinto   uvita de plata,78.0
222,Vino tinto haroldos roble cabernet sauvignon -,196.0
223,Vino tinto roble ochoa -,230.0
224,Vino tinto sella del boscone chianti classico -,480.0
225,Vino tinto miramar santo tomas -,229.0
226,Vino tinto chianti stracalli flask   -,327.0
227,Vino tinto rioja   paternina joven,99.0
228,Vino tinto jumilla  joven   casa de la ermita,140.0
229,Vino tinto finca el carril roble bodega iniesta  ,380.0
230,Vino tinto italiano lambrusco   riunite,136.0
231,Vino tinto crianza   cune,59.0
232,Vino tinto merlot   monte xanic,474.8
233,Vino tinto marques de arienzo    ,184.0
234,Vino tinto  gran sangre de toro,216.0
235,Vino tinto tepranillo crianza botella campo viejo,181.0
236,Vino tinto jumilla roble   casa de la ermita,178.0
237,Vino tinto monsaroso   -,89.92
238,Vino tinto   padre kino,59.0
239,Vino tinto junta seleccion cabernet sauvingnon -,110.2
240,Vino tinto aromo carmenere   la redonda,149.0
241,Vino blanco reservado concha y toro,107.0
242,Barton guestier vino tinto cotes du rhon cotes du rhone  ,209.0
243,Vino tinto   chateau,242.0
244,Vino tinto rioja crianza   hacienda lopez de haro,180.0
245,Vino tinto cyan prestigio (toro) 1320360  ,549.0
246,Vino tinto flor de crasto    ,198.0
247,Vino tinto   faustino,234.0
248,Vino tinto las condes reserva cab. sauv.  ,207.0
249,Vino blanco ca'perencin frizzante   la redonda,107.0
250,Vino blanco orquestra chardonay  ,68.0
251,Vino tinto crianza torremaciel -,198.0
252,Vino tinto gran reserva los vascos,321.0
253,Vino tinto senorio de ucero tempranillo -,159.0
254,Vino tinto ventisquero  shyra grey  ,383.0
255,Vino tinto crianza . cune,185.0
256,Vino tinto reserva aster  ,648.0
257,Vino tinto malbec trivento .,153.0
258,Vino tinto roodeberg kwv    ,239.0
259,Vino tinto sierra gorda cab suav barrica roble americano  ,625.0
260,Vino tinto espanol   la roja,58.84
261,Vino tinto  malbec rsva   fabre montmayou,280.0
262,Vino tinto emilio moro   -,479.0
263,Vino blanco chardonnay   santo tomas,226.98
264,Vino tinto senorio de ucero reserva -,369.0
265,Vino tinto reserva palo alto,140.0
266,Vino tinto espanol reserva cune,340.0
267,Vino tinto columbia crest grand estates cabernet -,315.0
268,Vino tinto chianti docg 2014 fiasco  ,440.0
269,Vino tinto chianti reserva 2007 -,348.0
270,Vino blanco rioja viura   campo viejo,158.0
271,Vino tinto cabernet sauvignon reserva bodegas perez cru -,262.0
272,Vino tinto rioja reserva   hacienda lopez de haro,280.0
273,Vino blanco ventisquero chardonnay  ,133.0
274,Vino tinto rioja   paternina azul,184.0
275,Vino tinto gran coronas torres 750   torres,309.0
276,Vino tinto crianza matarromera,530.0
277,Vino blanco quartz white blend -,235.0
278,Vino blanco monopole   cune,170.0
279,Vino tinto crin rioja tempranillo  ,98.0
280,Vino tinto adobe guadalupe kerubiel  ,679.0
281,Vino tinto cosecha   protos,250.0
282,Vino blanco graffigna pinot grigio  ,205.0
283,Vino tinto celeste reserva torres,635.0
284,Vino tinto cabernet sauvignon adobe organico  ,190.0
285,Vino tinto cabernet   cono sur,105.4
286,Vino tinto carmenere casillero del diablo,196.0
287,Vino tinto chateau   du baral,194.0
288,Vino tinto monte toro crianza -,255.0
289,Vino tinto sanlor   -,280.0
290,Vino blanco undurraga chardonnay   -,76.0
291,Vino tinto matarromera crianza -,1149.0
292,Vino blanco semi dulce conde de caralt,174.0
293,Vino blanco espumoso jacqueline brut  ,124.0
294,Vino tinto rioja bordon crianza  ,140.0
295,Vino tinto faustino 750ml   faustino,486.0
296,Vino tinto mandola curtefranca rosso 2013  ,220.0
297,Vino tinto gran irache color cereza gran  irache,139.0
298,Vino tinto orquestra merlot  ,68.0
299,Vino tinto reserva ribera del duero protos,1030.0
300,Vino blanco emina verdejo   -,289.0
301,Vino tinto syrah   monte xanic,657.9
302,Vino tinto terrazas reserva malbec   .,359.0
303,Vino tinto merlot adobe organico  ,190.0
304,Vino tinto reserva carmenere-merlot estefanya -,289.0
305,Vino tinto haroldos varietal malbec -,153.0
306,Vino tinto   toro,199.0
307,Vino tinto pinotage kwv  ,212.0
308,Vino tinto arzuaga navarro crianza    ,599.3
309,Vino tinto  reserva cantaburros,622.19
310,Vino blanco liebfraumilch blue rhin,140.0
311,Vino blanco monte real fermentado en barrica  ,204.0
312,Vino tinto zorzal graciano    ,298.0
313,Vino tinto montefiori shiraz cabernet   -,360.0
314,Vino blanco louis jadot chardonnay -,319.0
315,Vino tinto roble toro baco,198.0
316,Vino blanco   marques riscal,116.0
317,Vino tinto reserva banda roja rioja paternina,230.0
318,Vino blanco reservado botella concha y toro,65.0
319,Vino tinto emina prestigio   -,539.0
320,Vino blanco semi dulce banda dorada rioja paternina,99.0
321,Vino tinto osborne solaz,136.9
322,Vino tinto via sastre crianza ribera del duero  ,535.0
323,Vino blanco cune monopole  ,169.0
324,Vino blanco chardonay   calixa,269.0
325,Vino blanco brut sparkling   palo alto,140.0
326,Vino tinto cabernet sauvignon   casa madero,320.0
327,Vino tinto cetamura chianti 2013 -,198.0
328,Vino tinto reserva   lan,422.92
329,Vino tinto las condes carmenere    ,129.0
330,Vino tinto puerta vieja .  ,158.0
331,Vino tinto saxo   -,149.0
332,Vino blanco emiliana chardonnay    ,125.0
333,Vino tinto varietal patagonia phebus,314.0
334,Vino tinto malbec trapiche varietales,159.0
335,Vino tinto espumoso asti   riccadonna,159.0
336,Vino tinto aromo merlot   la redonda,149.0
337,Vino blanco freccianera sat n franciacorta brut satn 20  ,600.0
338,Vino tinto emilio moro rinca resaiso -,255.0
339,Vino tinto monte real reserva de la familia  ,380.0
340,Vino tinto cabernet-syrah calixa,300.0
341,Vino tinto roganto tramonte   -,423.0
342,Vino tinto tempranillo cabernet santo tomas,218.98
343,Vino tinto enate reserva  ,449.0
344,Vino tinto   sangre cristo,89.0
345,Vino tinto malbec casillero del diablo,199.0
346,Vino tinto   aba,157.0
347,Vino tinto val de los frailes   -,259.0
348,Vino tinto gran coronas reserva torres,166.0
349,Vino tinto crianza enate  ,299.0
350,Vino tinto malbec mil piedras -,210.0
351,Vino tinto riserva chianti rufina docg 2011 bottigli  ,280.0
352,Vino tinto reserva   matarromera,989.0
353,Vino tinto reservado estefanya   -,109.0
354,Vino blanco coliman bivarietal   -,120.0
355,Vino tinto crianza nocturnidad   -,202.6
356,Vino tinto graffigna centenario cabernet sauvignon -,213.0
357,Vino tinto montecarlo etiqueta azul -,224.0
358,Vino tinto reservado cabernet   concha y toro,107.0
359,Vino tinto campo burgo joven  ,150.8
360,Vino blanco classic sauvignon blanc montes,159.0
361,Vino tinto santiago graffigna cabernet sauv  ,760.0
362,Vino blanco semi dulce cuatripack diamante rioja,248.0
363,Vino blanco suavignon blanc orlandi,195.0
364,Adobe vino tinto carmenere carmenere  ,190.0
365,Vino blanco sauvignon blanc   sunrise,188.2
366,Vino tinto la llave roja   -,110.0
367,Vino tinto lambrusco rose di bacco  ,120.0
368,Vino tinto aliwen rsva cab-sauv-syrah undurraga,196.0
369,Vino blanco chardonnay reserva   cono sur,288.8
370,Vino tinto marques de valparaiso roble   -,156.0
371,Vino tinto orquestra cabernet  ,68.0
372,Vino tinto reserva carmenere gran araucaria -,160.0
373,Vino tinto merlot cabernet orlandi    ,265.0
374,Vino tinto chianti classico -,338.0
375,Vino tinto terrazas reserva cabernet  sauvignon .,339.0
376,Vino tinto terroir malbec   altos las hormigas,548.0
377,Vino tinto rioja bordon crianza   rioja,242.0
378,Vino tinto valbuena vega sicilia,2900.0
379,Vino blanco  chateau   domecq,184.0
380,Vino tinto crianza 2009 diamante,229.0
381,Vino blanco st colombard  ,136.99
382,Vino blanco valencia moscato   the tapas wine collection,165.0
383,Vino tinto donna enrica   -,248.0
384,Vino blanco italiano pinot grigio gabbiano,219.0
385,Emiliana vino tinto cabernet sauvignon cabernet sauvignon organi  ,125.0
386,Vino tinto canto i merlot di toscana igt 2006 -,399.0
387,Vino tinto carmenere cab sauv sendero,95.0
388,Vino blanco trio chardonay concha y toro,245.0
389,Vino blanco   casillero del diablo,199.0
390,Vino tinto matarromera crianza   -,326.5
391,Vino tinto valencia tempranillo   the tapas wine collection,165.0
392,Vino tinto    reserva real,194.0
393,Vino tinto gran reserva cabernet sauvignion tarapaca,163.0
394,Vino tinto  emina crianza   -,365.0
395,Vino blanco alfonso vi   -,132.0
396,Vino tinto malbec altos las hormigas,300.0
397,Vino tinto little pinguin cabernet sauvignon  ,211.0
398,Vino blanco viore verdejo  ,188.0
399,Vino tinto cabernet   los vascos,189.0
400,Vino tinto cab sauv ventisquero clasico    ,133.0
401,Vino tinto  tannat   isla lobos,108.0
402,Vino tinto bennone 2011 -,228.0
403,Vino blanco  poully fuisse a. bicchot   -,599.0
404,Vino blanco albarino   condes de alabarei,233.35
405,Vino tinto reserva merlot gran araucaria -,160.0
406,Vino tinto gran reserva tempranillo montecillo,484.2
407,Vino tinto reserve malbec    ,230.0
408,Vino tinto ianto    ,643.6
409,Vino tinto marques de casa   concha y toro,409.0
410,Vino blanco chenin colombard   monte xanic,223.0
411,Vino tinto cabernet sauvignon merlot   monte xanic,455.0
412,Vino tinto   gurpegui,94.9
413,Vino blanco banda dorada paternina,90.4
414,Vino tinto quara tannat    ,207.9
415,Vino tinto callia alta malbec   -,162.75
416,Vino tinto orquestra tempranillo -,65.3
417,Vino tinto broquel bonarda   -,315.45
418,Vino tinto cabernet sauvignon  gran devocion vina maipo,394.36
419,Vino tinto cabernet sauvignon carnivor  ,234.22
420,Vino tinto arzuaga crianza   -,358.8
421,Vino blanco sauvignon blanc cono sur,181.9
422,Vino tinto saurus select merlot  ,245.2
423,Vino tinto rubicante 2006   -,307.8
424,Vino tinto bordeaux baron de luze,289.8
425,Vino tinto oro riserva ducale  ,854.15
426,Vino tinto tempranillo 93 botella santo tomas,278.97
427,Vino blanco mision   santo tomas,99.79
428,Vino tinto altas cumbres malbec    ,191.9
429,Vino tinto pure malbec   -,288.55
430,Vino tinto altas cumbres cab sauv    ,191.9
431,Vino blanco red diamond chardonnay -,248.38
432,Vino tinto cabernet suavignon de la via sn pedro sweety control,195.95
433,Vino tinto red diamond merlot -,248.38
434,Vino blanco brick california,39.2
435,Vino tinto crianza rioja ramon bilbao,229.2
436,Vino tinto   marques caceres,122.5
437,Vino blanco uvita de plata    ,77.96
438,Vino tinto manso de velasco m. torres  ,959.9
439,Vino tinto red diamond shiraz -,248.38
440,Vino tinto ikella cabernet sauvignon  ,233.5
441,Vino tinto campillo reserva   -,400.35
442,Vino blanco peascal verdejo    ,117.2
443,Vino tinto  batasiolo barbera d alba doc sovran  ,418.2
444,Vino tinto homage opi bonarda santa ana,169.9
445,Vino tinto farfarello rosso 2009   -,154.6
446,Vino tinto toro cermeno,192.98
447,Vino tinto crianza ribera del duero condado de oriza  ,278.89
448,Vino tinto homage opi shiraz santa ana,169.9
449,Vino tinto pinot noir   cono sur,202.35
450,Vino tinto trio cabernet sauvignon concha y toro,245.0
451,Vino tinto g8 tempranillo madurado -,99.9
452,Vino tinto condado de oriza reserva  ,549.21
453,Vino tinto crianza cantaburros,364.71
454,Vino tinto montepulciano   dragani,138.6
455,Vino tinto gran cermeo    ,231.09
456,Vino tinto cabernet sauvignon frontera,46.5
457,Vino tinto california brick valle redondo,44.0
458,Vino tinto estefanya merlot -,36.5
459,Vino tinto peascal tempranillo    ,117.2
460,Vino blanco chardonnay   santa helena,114.15
461,Vino tinto seleccion d /  directorio   santa helena,265.95
462,Vino blanco g8 sauvignon blanc viura -,89.9
463,Vino blanco   blue nun,158.87
464,Vino tinto real de vilared malbec   -,333.6
465,Vino tinto chateau vieux    ,382.94
466,Vino blanco   carlo rossi,357.45
467,Vino tinto rioja grulla    ,79.9
468,Vino tinto estefanya carmenere -,36.5
469,Vino tinto cabernet sauvignon gato negro,115.5
470,Vino tinto red diamond cabernet suavignon -,248.38
471,Vino tinto merlot santa rita,174.82
472,Vino tinto cierzo cabernet sauvignon  ,564.94
473,Vino tinto luigi bosca sangre sangre luigi bosca,628.3
474,Vino tinto lambrusco   bacco,108.66
475,Vino tinto malbec   luigi bosca,246.25
476,Vino tinto merlot igt   dragani,131.4
477,Vino tinto   casillero del diablo,225.5
